traccion,transmision,horsepower,fuel_type,displacement,gears,engine_type,torque,turbo,brand,age,body_type
4x2,Automático,115,Gasolina,2.0,6.0,Combustión,125,No,Volkswagen,7,Sedan
4x2,Manual,140,Gasolina,1.8,5.0,Combustión,129,No,Chevrolet,12,Suv
4x2,Manual,102,Gasolina,1.5,5.0,Combustión,99,No,Mazda,12,Hatchback
4x4,Automático,288,Estándar,3.6,6.0,Combustión,270,No,Buick,8,Suv
4x2,Automático,254,Gasolina,2.0,9.0,Combustión,273,Sí,Mercedes Benz,6,Coupe
4x2,Automático,245,Gasolina,2.0,6.0,Combustión,260,Sí,Kia,9,Sedan
4x2,Manual,106,Gasolina,1.6,5.0,Combustión,105,No,Nissan,8,Hatchback
4x2,Automático,181,Gasolina,2.0,6.0,Combustión,175,No,Hyundai,6,Suv
4x2,Automático,168,Gasolina,2.5,6.0,Combustión,177,No,Volkswagen,10,Sedan
4x2,Automático,130,Gasolina,1.2,6.0,Combustión,170,Sí,Peugeot,3,Suv
4x4,Automático,280,Estándar,3.5,6.0,Combustión,262,No,Honda,7,Suv
4x2,Manual,98,Gasolina,1.6,5.0,Combustión,105,No,Ford,10,Hatchback
4x4,Automático,261,Gasolina,2.0,10.0,Combustión,280,Sí,Acura,5,Suv
4x4,Automático,286,Gasolina,3.0,6.0,Combustión,310,Sí,Audi,15,Sedan
4x4,Automático,249,Híbrido,2.0,7.0,Mild Hybrid,273,Sí,Audi,4,Suv
4x2,Manual,76,Gasolina,1.2,5.0,Combustión,74,No,Mitsubishi,6,Hatchback
4x2,Manual,129,Gasolina,1.8,6.0,Combustión,128,No,Nissan,9,Sedan
4x2,Automático,155,Gasolina,2.0,6.0,Combustión,148,No,Mazda,11,Suv
4x2,Automático,148,Estándar,2.0,6.0,Combustión,273,Sí,Peugeot,6,Suv
4x2,Manual,115,Estándar,1.6,5.0,Combustión,117,No,Dodge,7,Sedan
4x2,Automático,148,Gasolina,2.0,6.0,Combustión,141,No,Mazda,8,Suv
4x4,Automático,302,Gasolina,3.0,8.0,Combustión,295,Sí,Bmw,7,Suv
4x2,Automático,186,Gasolina,2.5,6.0,Combustión,184,No,Mazda,9,Suv
4x2,Manual,105,Estándar,1.6,6.0,Combustión,113,No,Volkswagen,5,Sedan
4x2,Automático,164,Gasolina,2.0,6.0,Combustión,146,No,Ford,6,Suv
4x2,Manual,88,Gasolina,1.2,5.0,Combustión,88,No,Hyundai,7,Sedan
4x2,Automático,188,Gasolina,2.5,6.0,Combustión,184,No,Mazda,8,Hatchback
4x2,Automático,102,Gasolina,1.5,4.0,Combustión,99,No,Toyota,9,Minivan
4x2,Automático,300,Gasolina,2.3,10.0,Combustión,310,Sí,Ford,5,Suv
4x2,Automático,140,Estándar,1.8,6.0,Combustión,129,No,Chevrolet,11,Suv
4x2,Automático,290,Gasolina,3.6,8.0,Combustión,260,No,Jeep,9,Suv
4x2,Automático,86,Gasolina,1.2,4.0,Combustión,88,No,Hyundai,5,Hatchback
4x2,Automático,310,Estándar,2.3,6.0,Combustión,320,Sí,Ford,8,Coupe
4x2,Automático,150,Gasolina,1.4,7.0,Combustión,184,Sí,Seat,5,Hatchback
