horsepower3,displacement,gears,torque_log,age,fuel_consumption_km_l
1520875,1.6,6.0,4.736198448394496,8,13.0
1225043,1.6,5.0,4.6443908991413725,7,17.0
1191016,1.6,5.0,4.653960350157523,8,16.0
1061208,1.5,5.0,4.59511985013459,12,14.0
1225043,1.5,5.0,4.6443908991413725,4,16.0
1520875,2.0,5.0,4.8283137373023015,11,9.0
1520875,2.0,5.0,4.8283137373023015,9,12.0
438976,1.2,5.0,4.30406509320417,7,21.0
753571,1.6,5.0,5.135798437050262,5,18.0
2744000,1.8,6.0,4.859812404361672,9,15.0
1157625,1.5,5.0,4.653960350157523,8,16.0
531441,1.2,5.0,4.382026634673881,7,18.0
