fuel_consumption_km_l,traccion,transmision,horsepower,fuel_type,displacement,gears,engine_type,torque,turbo,brand,age
15,4x2,Manual,101,estándar,1.4,5,Combustión,98,No,Fiat,10
14,4x2,Automático,104,Gasolina,1.6,6,Combustión,113,No,Volkswagen,7
14,4x2,Manual,85,Gasolina,1.4,5,Combustión,90,No,Fiat,7
15,4x2,Automático,140,Gasolina,1.8,6,Combustión,129,No,Chevrolet,6
14,4x2,Manual,99,Gasolina,1.6,5,Combustión,105,No,Volkswagen,11
15,4x2,Automático,140,Gasolina,1.8,6,Combustión,129,No,Chevrolet,10
11,4x2,Automático,168,Gasolina,2.5,6,Combustión,177,No,Volkswagen,11
14,4x2,Automático,153,Gasolina,2.0,6,Combustión,148,No,Mazda,7
13,4x2,Automático,169,Gasolina,2.5,0,Combustión,172,No,Nissan,4
28,4x2,Automático,99,Híbrido,1.5,0,Eléctrico,105,No,Toyota,6
28,4x2,Automático,99,Híbrido,1.5,0,Eléctrico,105,No,Toyota,6
17,4x2,Automático,153,estándar,1.4,6,Combustión,177,Sí,Chevrolet,9
18,4x2,Automático,106,Gasolina,1.6,4,Combustión,105,No,Nissan,7
13,4x2,Automático,102,estándar,1.5,4,Combustión,99,No,Toyota,7
8,4x4,Automático,177,Gasolina,2.4,5,Combustión,164,No,Honda,12
17,4x2,Manual,107,estándar,1.6,5,Combustión,104,No,Chevrolet,5
9,4x2,Automático,155,Gasolina,2.0,6,Combustión,148,No,Mazda,10
14,4x2,Automático,155,Gasolina,2.0,6,Combustión,148,No,Mazda,9
17,4x2,Automático,130,Gasolina,1.5,0,Combustión,114,No,Honda,10
11,4x2,Automático,180,Gasolina,1.8,7,Combustión,184,Sí,Audi,11
5,4x4,Automático,547,estándar,4.4,0,NoInfo,502,No,Bmw,12
