fuel_consumption_km_l,traccion,transmision,horsepower,fuel_type,displacement,gears,engine_type,torque,turbo,brand,age
12.0,4x2,Automático,130,Gasolina,1.8,6.0,Combustión,134,No,Jeep,3
9.0,4x2,Automático,300,Estándar,4.8,6.0,Combustión,295,No,Porsche,11
15.0,4x2,Manual,197,Gasolina,1.6,6.0,Combustión,202,Sí,Ford,6
14.0,4x2,Manual,150,Gasolina,2.0,6.0,Combustión,142,No,Kia,7
13.0,4x2,Automático,150,Gasolina,2.0,6.0,Combustión,141,No,Kia,8
9.0,4x2,Automático,104,Gasolina,1.6,6.0,Combustión,113,No,Volkswagen,7
9.0,4x2,Automático,186,Gasolina,2.5,6.0,Combustión,186,No,Mazda,4
12.0,4x2,Automático,172,Estándar,2.4,6.0,Combustión,165,No,Jeep,9
13.0,4x2,Automático,115,Estándar,1.6,6.0,Combustión,114,No,Chevrolet,10
11.0,4x2,Automático,168,Gasolina,2.5,6.0,Combustión,177,No,Volkswagen,8
9.0,4x2,Automático,168,Estándar,2.5,6.0,Combustión,170,No,Ford,8
14.0,4x2,Manual,105,Estándar,1.6,5.0,Combustión,113,No,Volkswagen,5
13.0,4x2,Automático,192,Estándar,2.0,6.0,Combustión,207,Sí,Mini,9
15.0,4x2,Automático,148,Gasolina,2.0,6.0,Combustión,141,No,Mazda,8
14.0,4x2,Automático,188,Estándar,2.5,6.0,Combustión,186,No,Mazda,6
13.0,4x2,Automático,115,Gasolina,1.6,6.0,Combustión,114,No,Chevrolet,9
15.0,4x2,Automático,110,Estándar,1.6,6.0,Combustión,114,No,Seat,9
11.0,4x2,Automático,168,Gasolina,2.5,6.0,Combustión,177,No,Volkswagen,9
16.0,4x2,Manual,118,Gasolina,1.6,5.0,Combustión,110,No,Nissan,4
9.0,4x2,Automático,290,Estándar,3.5,6.0,Combustión,255,No,Ford,11
10.0,4x4,Automático,380,Estándar,3.0,8.0,Eléctrico,428,Sí,Porsche,12
14.0,4x2,Automático,155,Gasolina,2.0,6.0,Combustión,148,No,Mazda,11
15.0,4x2,Automático,201,Gasolina,2.5,8.0,Combustión,178,No,Toyota,6
14.0,4x2,Manual,131,Gasolina,2.0,6.0,Combustión,142,No,Renault,8
15.0,4x2,Automático,148,Estándar,2.0,6.0,Combustión,141,No,Mazda,8
11.0,4x2,Automático,189,Estándar,2.0,7.0,Combustión,207,Sí,Bmw,7
9.0,4x2,Automático,177,Estándar,2.4,5.0,Combustión,164,No,Honda,11
12.0,4x2,Automático,153,Gasolina,2.0,6.0,Combustión,142,No,Kia,8
12.0,4x2,Automático,150,Estándar,1.4,6.0,Combustión,184,Sí,Audi,7
15.0,4x2,Automático,125,Gasolina,1.4,7.0,Combustión,148,Sí,Audi,7
14.0,4x2,Automático,135,Gasolina,1.4,6.0,Combustión,150,Sí,Fiat,10
15.0,4x2,Automático,148,Gasolina,2.0,6.0,Combustión,144,No,Mazda,6
11.0,4x2,Manual,85,Gasolina,1.3,5.0,Combustión,90,No,Fiat,5
13.0,4x2,Automático,175,Gasolina,1.6,8.0,Combustión,184,Sí,Bmw,9
18.0,4x2,Manual,81,Gasolina,1.2,5.0,Combustión,80,No,Chevrolet,6
14.0,4x2,Automático,150,Estándar,1.4,7.0,Combustión,184,Sí,Audi,6
14.0,4x2,Automático,150,Gasolina,1.4,7.0,Combustión,184,Sí,Audi,6
18.0,4x2,Automático,106,Gasolina,1.6,4.0,Combustión,105,No,Nissan,10
13.0,4x2,Automático,181,Gasolina,2.0,9.0,Combustión,221,Sí,Mercedes Benz,7
13.0,4x2,Automático,181,Estándar,2.0,8.0,Combustión,199,Sí,Bmw,9
14.0,4x2,Automático,188,Gasolina,2.5,6.0,Combustión,186,No,Mazda,5
14.0,4x2,Automático,150,Estándar,1.4,7.0,Combustión,184,Sí,Audi,7
12.0,4x2,Automático,140,Gasolina,2.0,4.0,Combustión,144,No,Renault,5
16.0,4x2,Automático,107,Gasolina,1.5,6.0,Combustión,104,No,Chevrolet,6
